"Total Fuel Consumption
Quantity","Electric Fuel Consumption
Quantity","Total Fuel Consumption
MMBtu","Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",YEAR
"3,712","3,712","21,351","21,351","1,958",2023
"20,741","20,741","21,566","21,566","2,006",2023
0,0,0,0,0,2023
0,0,"77,299","77,299","22,655",2023
0,0,0,0,125,2023
0,0,0,0,"1,090,067",2023
575,575,"3,163","3,163",281,2023
"24,800,104","24,800,104","25,366,986","25,366,986","2,252,468",2023
0,0,"99,180","99,180","29,068",2023
"30,212","30,212","30,816","30,816","2,524",2023
0,0,"198,170","198,170","58,080",2023
"17,565","17,565",0,0,"4,521",2023
0,0,0,0,0,2023
177,177,990,990,68,2023
0,0,"142,493","142,493","41,762",2023
0,0,0,0,0,2023
"3,481","3,481","19,493","19,493","1,298",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"5,223","5,223","29,176","29,176",110,2023
"3,428","3,428","3,534","3,534",13,2023
0,0,0,0,0,2023
286,286,"1,658","1,658",132,2023
"1,068","1,068","6,195","6,195",427,2023
"161,678","161,678","166,528","166,528","12,970",2023
"55,545","55,545","349,933","349,933","22,674",2023
"667,800","667,800",0,0,"-181,121",2023
"282,857","282,857","298,131","298,131","25,622",2023
"10,163","10,163","10,702","10,702",373,2023
"518,045","518,045","4,669,816","4,669,816","309,101",2023
0,0,"32,783","32,783","9,608",2023
0,0,"556,656","556,656","163,147",2023
0,0,"379,518","379,518","111,230",2023
0,0,"16,039","16,039","4,701",2023
0,0,0,0,0,2023
543,543,"3,258","3,258",219,2023
0,0,"39,849","39,849","11,679",2023
0,0,"120,604","120,604","35,347",2023
0,0,"177,685","177,685","52,077",2023
0,0,0,0,0,2023
273,273,"1,527","1,527",100,2023
437,437,"2,447","2,447",-228,2023
90,90,503,503,39,2023
"1,510,567","1,510,567","1,555,883","1,555,883","135,694",2023
"71,437","71,437","438,623","438,623","34,267",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"1,403,010","1,403,010","1,434,202","1,434,202","783,341",2023
0,0,0,0,0,2023
"13,075,567","13,075,567","13,368,135","13,368,135","1,200,424",2023
"1,313,585","1,313,585","30,957,003","30,957,003","2,751,419",2023
"354,058","354,058","191,190","191,190","16,205",2023
"5,885,269","5,885,269","6,012,047","6,012,047","524,064",2023
0,0,0,0,0,2023
171,171,957,957,67,2023
0,0,"56,870,932","56,870,932","5,441,282",2023
0,0,"85,998,853","85,998,853","8,228,176",2023
"1,615,393","1,615,393","1,678,393","1,678,393","247,388",2023
0,0,0,0,0,2023
"17,498,061","17,498,061","18,055,231","18,055,231","2,677,218",2023
"28,543","28,543","166,406","166,406","20,470",2023
0,0,0,0,0,2023
0,0,"25,870","25,870","7,582",2023
90,90,524,524,39,2023
0,0,"12,016","12,016","3,522",2023
0,0,"311,834","311,834","91,393",2023
0,0,"18,439","18,439","5,378",2023
0,0,"10,318","10,318","3,014",2023
0,0,0,0,0,2023
"3,379","3,379","3,528","3,528",237,2023
"285,889","285,889","2,715,949","2,715,949","184,561",2023
"1,960","1,960","11,311","11,311",219,2023
383,383,"2,230","2,230",-577,2023
560,560,"3,250","3,250","-4,799",2023
176,176,"1,032","1,032",81,2023
"2,695,330","2,695,330","2,776,042","2,776,042","218,990",2023
"16,263","16,263","103,237","103,237","8,022",2023
"2,329","2,329","13,360","13,360",605,2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"13,316","13,316","337,908","337,908","-6,498",2023
"8,363","8,363","48,128","48,128","-3,390",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
647,647,"3,766","3,766","-4,977",2023
"522,186","522,186","13,453,396","13,453,396","1,022,566",2023
"34,883","34,883","203,150","203,150","12,723",2023
0,0,0,0,0,2023
"2,927","2,927","16,845","16,845","1,429",2023
"10,224,989","10,224,989","11,241,015","11,241,015","965,652",2023
0,0,0,0,"4,014",2023
0,0,0,0,"2,497,392",2023
"12,844","12,844","75,998","75,998","7,333",2023
"46,355,528","46,355,528","47,746,193","47,746,193","4,610,405",2023
0,0,0,0,0,2023
"1,323,004","1,323,004","1,349,464","1,349,464","3,152,274",2023
0,0,0,0,0,2023
"65,424,777","65,424,777","66,817,233","66,817,233","6,284,292",2023
"9,400","9,400","54,120","54,120","4,660",2023
"4,208,599","4,208,599","4,300,600","4,300,600","368,797",2023
"54,083","54,083","311,704","311,704","28,594",2023
"2,804,029","2,804,029","2,864,760","2,864,760","256,937",2023
0,0,0,0,"3,444",2023
0,0,0,0,"2,033,897",2023
"11,488","11,488","66,215","66,215","6,147",2023
"37,647,221","37,647,221","38,483,086","38,483,086","3,589,169",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,0,0,"4,778",2023
0,0,0,0,"2,404,248",2023
"16,424","16,424","97,183","97,183","9,816",2023
"46,979,028","46,979,028","48,094,376","48,094,376","4,844,801",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,0,0,"2,798,683",2023
0,0,0,0,0,2023
"56,609,194","56,609,194","57,906,076","57,906,076","5,127,485",2023
0,0,0,0,776,2023
0,0,0,0,"2,375,142",2023
"2,496","2,496","14,410","14,410","1,263",2023
"45,448,359","45,448,359","46,466,272","46,466,272","4,205,409",2023
0,0,0,0,0,2023
0,0,"69,485,568","69,485,568","6,644,818",2023
0,0,"71,426,646","71,426,646","6,833,940",2023
0,0,0,0,0,2023
0,0,"102,786","102,786","30,125",2023
0,0,"271,762","271,762","79,649",2023
0,0,0,0,0,2023
"10,978","10,978","63,126","63,126","4,482",2023
"3,976,491","3,976,491","4,085,251","4,085,251","4,682,607",2023
"77,514,064","77,514,064","79,667,882","79,667,882","7,574,580",2023
"1,837,255","1,837,255","41,716,615","41,716,615","3,800,641",2023
"54,362","54,362","313,488","313,488","28,303",2023
0,0,"58,868","58,868","17,253",2023
0,0,0,0,0,2023
"1,470,137","1,470,137","1,499,336","1,499,336","2,318,409",2023
0,0,0,0,0,2023
"48,449,499","48,449,499","49,442,258","49,442,258","4,229,652",2023
0,0,0,0,0,2023
"1,988","1,988","11,356","11,356",751,2023
"274,536","274,536","280,381","280,381","18,919",2023
58,58,335,335,377,2023
"36,078","36,078","37,017","37,017","41,888",2023
0,0,0,0,0,2023
"4,159","4,159","24,283","24,283","2,142",2023
"4,196,910","4,196,910","4,287,867","4,287,867","391,903",2023
0,0,0,0,0,2023
536,536,"3,125","3,125",199,2023
"22,907,003","22,907,003","23,411,771","23,411,771","1,861,279",2023
0,0,0,0,"1,440,139",2023
"28,543,668","28,543,668","29,221,476","29,221,476","2,744,359",2023
0,0,0,0,0,2023
560,560,0,0,-64,2023
0,0,0,0,"1,157,564",2023
"24,495,147","24,495,147","25,082,213","25,082,213","2,687,029",2023
0,0,0,0,0,2023
"19,302","19,302","19,714","19,714",868,2023
0,0,"52,074","52,074","15,262",2023
"305,235","305,235","6,866,700","6,866,700","689,834",2023
0,0,0,0,0,2023
"2,831,890","2,831,890","2,898,738","2,898,738","270,834",2023
0,0,0,0,0,2023
0,0,"98,623,673","98,623,673","9,436,090",2023
0,0,"96,618,410","96,618,410","9,244,231",2023
0,0,"45,530,874","45,530,874","4,356,291",2023
76,76,423,423,-20,2023
"18,959","18,959","19,399","19,399",854,2023
"9,497","9,497","238,988","238,988","18,359",2023
"9,938,605","9,938,605","10,175,676","10,175,676","793,274",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,0,0,"71,507",2023
0,0,0,0,0,2023
"1,735,971","1,735,971","1,773,992","1,773,992","137,961",2023
0,0,0,0,0,2023
151,151,870,870,"-3,928",2023
8,8,8,8,-37,2023
"1,425","1,425","8,255","8,255",723,2023
"1,998,967","1,998,967","2,084,924","2,084,924","182,617",2023
"6,459","6,459","35,503","35,503","2,029",2023
"110,197","110,197","2,358,622","2,358,622","216,253",2023
0,0,0,0,0,2023
"20,810,979","20,810,979","21,735,251","21,735,251","1,935,865",2023
